"","Var1","Freq"
"2057","Danziggy",255
"2058","DanZMan",123
"2059","dapa0676",5
"2060","Daphne Allen",309
"2061","Dapimap",2325
"2062","daraasu",1
"2063","darellvdv",751
"2064","darerocksdevil",2
"2065","Darin Jensen",777
"2066","Dario Di Nunzio",20
"2067","Dario Ingiusto",536
"2068","Dariuslyt",4616
"2069","darkbox168",156
"2070","Dark SKY",116
"2071","DaronMc",133
"2072","darpant",123
"2073","Darren Hsu",477
"2074","darshandip",63
"2075","daryl-ball",1029
"2076","Daryl Hull",811
"2077","das_ankit",38
"2078","das-g",289
"2079","DasNordlicht",673
"2080","Dastly",16
"2081","dasv123",107
"2082","Data411",741
"2083","datalogg",414
"2084","@dave",98
"2085","Dave156",790
"2086","Dave Hampton",2022
"2087","Dave Healy",301
"2088","davekoh",148
"2089","Dave Milledge",17
"2090","Dave Mink",65
"2091","Dave Smith",3060
"2092","davestreeter",10
"2093","dave_tian",17
"2094","Dave W Farthing",64
"2095","daveyjcoe",40
"2096","David20023",13
"2097","David Aragon",669
"2098","David by de Ley",996
"2099","DavidByTheWater",465
"2100","David Callaghan",5
"2101","David C Harvey",71
"2102","David & Christine Schmitt",175
"2103","David Crochet",188
"2104","davideabell",235
"2105","DavidEdmends",124
"2106","Davide Massidda",119
"2107","davide pagano",146
"2108","DavidGinzberg",998
"2109","davidgljay",11
"2110","davidgomez1974",22
"2111","davidgriffo",100
"2112","DavidHamel",595
"2113","davidjohnwhite",232
"2114","Dávid Kárai",2919
"2115","david leon",119
"2116","davidley",335
"2117","DavidM06",5872
"2118","David_Mapping",894
"2119","davidmax21",14992
"2120","David McChesney",70
"2121","David Metcalfe",5889
"2122","Davidmillie",74
"2123","DavidMoniz",2210
"2124","david nhemaphuki",10643
"2125","David Norrish",26
"2126","David Olesh",434
"2127","David Oliver",44
"2128","David Paleino",2
"2129","David Pitcher",571
"2130","David Radcliffe",107
"2131","David Ritsher",784
"2132","David Rule",27
"2133","DavidSh",8665
"2134","David Smith at SLU",80
"2135","davidtheduckfan",615
"2136","davidwillner",1
"2137","DavidYJackson",129
"2138","Davin Fan",14
"2139","davisbhs19",205
"2140","Dawaduck",274
"2141","dawafuti",41
"2142","Dawa Sherpa",57
"2143","Dawa Yeshe",1375
"2144","dawid003",77
"2145","dawng183",5
"2146","dawnz",5023
"2147","dawsoneri",52
"2148","DayTobite",9214
"2149","Dbandith Dbandit",2367
"2150","dbartley",324
"2151","DBazazi",131
"2152","dbensurfer",2
"2153","dbusse",41
"2154","DCamacho",1688
"2155","dcfrankland",5
"2156","dchiles",653
"2157","dcliff",1096
"2158","DCSorianoRodriguez",281
"2159","Dcurryspice",32
"2160","ddk100",52
"2161","ddk2130",256
"2162","deadefy",9
"2163","deanders",1457
"2164","DeAnnaH",157
"2165","dearlove",552
"2166","deathdistiny",228
"2167","deathlwing",1
"2168","DebashisD",127
"2169","debbieanthony1",22
"2170","Debbie Bull",278
"2171","debfreak",1240
"2172","DeBigC",404
"2173","Debjani Gupta",7
"2174","DeclanDevine",531
"2175","Decoy_Walrus",695
"2176","decuy002",82
"2177","Dee0954",51
"2178","DeepaJoshi",22
"2179","Deepak0911",355
"2180","Deepak1",37
"2181","deepakd92",531
"2182","Deepak Dhungel",6
"2183","DeepakGopaju",6
"2184","DeepakJha",50
"2185","DeepBlueSea",58
"2186","Deependra Dhakal",16
"2187","deependran",38
"2188","Deependra Yadav",120
"2189","deepsadhi",472
"2190","deeptrees",12
"2191","Deep yes",60
"2192","degjohn",40
"2193","Deirdre Appel",170
"2194","Delawen",491
"2195","delfin_6",14582
"2196","delo13",178
"2197","deman123",119
"2198","DemeScope",203
"2199","demeste",55
"2200","demithijs",80
"2201","denbe852",339
"2202","denes biczo",5117
"2203","Denetian",253
"2204","DenisCarriere",7488
"2205","Denis des Clayes",41
"2206","denisebh",161
"2207","DenisWhite",23
"2208","denium",143
"2209","DennisL",76
"2210","dentm",723
"2211","Depcka",5
"2212","Depsy",10
"2213","dercorn",18
"2214","Derek0119",358
"2215","derfmichna",31
"2216","derFred",41
"2217","DerJan",528
"2218","DermannD",132
"2219","DerrickBateman",7504
"2220","derstefan",1323
"2221","derWanderTyp",1
"2222","Desert",1
"2223","desjam",865
"2224","DEVAPRIYA BANERJEE",2
"2225","Dev Bhatta",1
"2226","dev-bks",2
"2227","developingcountries",381
"2228","devendrashres",2
"2229","Devgma",5
"2230","Devidas",2491
"2231","DevinW",13
"2232","Dev Narayan Paudel",43
"2233","Devrajbadu",9
"2234","de vries",18972
"2235","Dev Shrestha",52
"2236","dewla",608
"2237","Dexterprabin",2
"2238","DeyWalt",36
"2239","DF45",34794
"2240","dfjosh",156
"2241","dforsi",2168
"2242","dfuuty",412
"2243","dgodone",1206
"2244","dgraebner",45
"2245","dgray3",5
"2246","dgreven1",137
"2247","D_Griswold",322
"2248","dgurung",510
"2249","dgurvich",2205
"2250","Dhading",630
"2251","DhakalJ",189
"2252","DHang",519
"2253","DharmaBum",83174
"2254","dharmarajbudhathoki",12
"2255","Dhavalkumar Patel",9
"2256","dhinjjam",33831
"2257","dhinman85",379
"2258","Dhiraj Upadhayay",12
"2259","dhiraz",8
"2260","DHMO",71
"2261","Dhruba Rajbanshi",1
"2262","DHughs",187
"2263","D_HUNNY",596
"2264","dhurba poudel",136
"2265","Dhyego Palácios Bonifácio",178
"2266","Diamella",80
"2267","Diana Manson",297
"2268","Diana_T",282
"2269","Dianazul",40
"2270","Diane Ames",179
"2271","Dibloni Innocent",1904
"2272","dichapabe",1625
"2273","Didger85",3
"2274","didier2020",1
"2275","didierbf",1162
"2276","DidierUSP",28
"2277","Didygroove",641
"2278","diegogomez",3
"2279","diegopajarito",116
"2280","diemilli1986",767
"2281","diennie",311
"2282","digimar",2105
"2283","DiGro",32
"2284","Diipak Shrestha",1
"2285","Dijan",113
"2286","dikesh",3
"2287","Diksha",5
"2288","Dikshya Dulal",8
"2289","Dilip Bhattarai",1
"2290","Dillishwor Karki",3239
"2291","Dima M",26902
"2292","dimorin",63
"2293","dimuzz",3307
"2294","DineeT",9
"2295","Dinesh Chandane",468
"2296","dineshtm",2
"2297","dinki",38
"2298","Dinnnn",914
"2299","dino54",66
"2300","dintre",13
"2301","Diogo_1977",301
"2302","dip623",275
"2303","dipendra jha",43
"2304","Dipendra Pokharel",17
"2305","Dipendra Shrestha",2
"2306","dipesh 234",843
"2307","DipeshKhanal",4
"2308","Dipeshlama",23
"2309","DipeshSuwal",408
"2310","dipson08",115
"2311","Dipu Gupta",14
"2312","Dipu Shakya",7
"2313","Dirga_Daniel",64
"2314","DirtEng",440
"2315","dirtysouth",1
"2316","Disaster Management Section",49
"2317","DisasterNate",756
"2318","discoinfiltrator",137
"2319","Disney Bende",601
"2320","dispiste",335
"2321","Display Name33",4
"2322","disruptiveGeo",10
"2323","Ditesh",64
"2324","DITPiranha",211
"2325","diviko",1909
"2326","Divjo",18409
"2327","Diwas",382
"2328","Diwas shrestha",11
"2329","dizitalsadhu",10
"2330","djaeger79",327
"2331","djbostic",191
"2332","djchinia",101
"2333","djgarv",4094
"2334","djhale708",188
"2335","DJois",2667
"2336","djouzla",219
"2337","DJPressPlay",176
"2338","Dj Rabin",1
"2339","djroars",112
"2340","dkapali76",3
"2341","dkiselev",3423
"2342","DKNOTT",55
"2343","dkunce",972
"2344","dlatham",260
"2345","DLichti",7261
"2346","DLOK",817
"2347","dlopez1016",227
"2348","d_mapping",170
"2349","dmayes",92
"2350","dmcglone",497
"2351","dmgroom_ct",3
"2352","Dmilan",21
"2353","dminovi",57
"2354","DN-01",283
"2355","Dne SH",1
"2356","dnewcomb",115
"2357","dnw3039",1317
"2358","Docmor",2420
"2359","docpuddu",189
"2360","Dodekaphonia",887
"2361","dodge-the-dodo",87
"2362","dogdoc",4391
"2363","doggku",733
"2364","dohang",223
"2365","doiken",350
"2366","doledechu",1190
"2367","Domcsi",412
"2368","domdomegg",1040
"2369","dommage",189
"2370","dom_nantucket",19
"2371","Domschl",680
"2372","domspad",396
"2373","Donatus Wahington",2
"2374","dongpo",1144
"2375","DongyangCA",58
"2376","donnabui",69
"2377","donnellharris",178
"2378","Donok",121
"2379","DooMMasteR",2732
"2380","Dooyoul Chung",39
"2381","Dopamine1834",1
"2382","dorigatti",42
"2383","Dornathal",477
"2384","Doroszlai Attila",531
"2385","Dorothy Tang",56
"2386","DortheBT",222
"2387","Dory Tuininga",497
"2388","dosm",539
"2389","DottoPing",253
"2390","Douai",34
"2391","DoubleA",205
"2392","Double_wasabi",5227
"2393","dougcb68",3701
"2394","Doug G",1801
"2395","Douglas Amorim de Oliveira",18
"2396","Douglas Rondon",81
"2397","DoverLives",661
"2398","dpause",6
"2399","DPBamford",7
"2400","Dpbours",956
"2401","D-pendra Panta",1
"2402","D-pesh",21
"2403","dpka",15
"2404","dpss",77
"2405","draane",102
"2406","dragonanvil",100
"2407","dragonfly",394
"2408","DragonPanda",179
"2409","Dragons8mycat",19
"2410","Dragos Andronic",1429
"2411","DragosI",243
"2412","drarnakarick",82
"2413","DrBrenLove",159
"2414","drdangi",345
"2415","DreamerShristi",479
"2416","drehrumbum71",680
"2417","drekmaby",34971
"2418","DRenchard",697
"2419","dretmapper",609
"2420","Drew4221",66
"2421","Drewbo",63
"2422","drewcifer",38
"2423","Dr Faheem Ahmad",1265
"2424","DR H",341
"2425","driadka",886
"2426","Dringuel",1549
"2427","DRini",427
"2428","driscolljo",11
"2429","DrizzyDrake",4
"2430","Dr Kludge",742
"2431","drkmapp",245
"2432","DrMary",102
"2433","Drmorfeo",33
"2434","Dr-Mx",2
"2435","drnoble",10148
"2436","drolsson",147
"2437","drslimfast",4
"2438","drsureshkumar",440
"2439","drudg",13
"2440","DrUno",531
"2441","drvdijk",20946
"2442","drvenu",554
"2443","DrWily",76
"2444","Dryad Nymph",578
"2445","dsarmiento",274
"2446","dschroet",38
"2447","dsf1991",326
"2448","DSHJR",5
"2449","dshkol",872
"2450","DSP21",14
"2451","DSR524",144
"2452","dstrotma",454
"2453","dszum",347
"2454","DTO Arghakhanchi",13
"2455","Dublin Ohio GIS",58763
"2456","dubochet",623
"2457","duck1422",50
"2458","DuckyDuck",250
"2459","dudone",675
"2460","dudyc007",108
"2461","dugarshubham",63
"2462","Duhi",130
"2463","dulli",194
"2464","duncanngenda",175
"2465","Durga Pd Ojha",94
"2466","Dusche",7034
"2467","DutchTerror",320
"2468","dvdzero",1410
"2469","DW_",263
"2470","DW2515",501
"2471","dyingtrees",181
"2472","dylan_e",9824
"2473","ead",332
"2474","eadson",1421
"2475","Eager Mapper",31
"2476","EAiras",86
"2477","eamartinez88",537
"2478","earkison08",427
"2479","EarlCat",1306
"2480","earthtirol",102
"2481","Easy Lou",164
"2482","easyX",129672
"2483","ebiggs",1497
"2484","eBin",1263
"2485","EBodin",273
"2486","ebrelsford",1865
"2487","e_buhl",884
"2488","ECastle",1287
"2489","e-cite",325
"2490","Eckhart Wörner",823
"2491","ecolijoshi",9
"2492","Ed3m",1990
"2493","Ed Ahern",36
"2494","EdCub",70
"2495","eddie28",469
"2496","EddieHK",38
"2497","Eddie jad",108
"2498","Edefritz",63
"2499","Eden L",93
"2500","edferoci",1872
"2501","edgarbaculi",611
"2502","Edgar Egurrola",252
"2503","edgar pozo velarde",15
"2504","Edgar Veldman",119
"2505","edgema",7
"2506","edith_szucs",387
"2507","ediyes",176622
"2508","ed kimber",40
"2509","Edmund_Humenberger",1
"2510","edpxlx",240
"2511","edros29",10
"2512","Edrum20",1
"2513","edrux",20
"2514","edsimpson",85
"2515","edtha",72
"2516","Ed Tha",2261
"2517","edu4drr",630
"2518","eduardsan",148
"2519","edvac",1674
"2520","Edward Turnbull",69
"2521","edwin_wisse",560
"2522","eebowlin85",135
"2523","eeseesee",322
"2524","eetsou",32
"2525","eey0re",164
"2526","efbroderick",1126
"2527","efemm",10582
"2528","eferrari",66
"2529","efriesen",4
"2530","EG3R",10168
"2531","eg453542",8819
"2532","egblonder",52
"2533","Egmb",19
"2534","e*holtz",1350
"2535","ehurr",29
"2536","eifachich",5802
"2537","eigek",41
"2538","Eimear Hennessy",153
"2539","einarwergeland",268
"2540","Einhorn-a",10
"2541","eireidium",1895
"2542","EirinFrida",297
"2543","ejdavis",1824
"2544","ejmdist4",282
"2545","ekerek",843
"2546","EKHartel",8834
"2547","EkiZ",1753
"2548","Ekki_df4or",3805
"2549","EKOTAMIKE",64
"2550","Ekraj",340
"2551","elaine23",345
"2552","ElaineChen",323
"2553","elainexmas",32
"2554","El_Aleph",12
"2555","elazarev",1
"2556","elbatrop",1
"2557","ElBoucho",296
"2558","@eldang",296
"2559","ElDeivid",66
"2560","Eleanor12",23421
"2561","ELECAL",388
"2562","Elena Maschio",178
"2563","elenotes",12981
"2564","Eléonore",344
"2565","elezaboban",6516
"2566","ElGrandeBanana",5034
"2567","elirnm",148
"2568","Elisa Bautista",268
"2569","ElisendaMO",179
"2570","elixir_125",15
"2571","Eliza Leung",762
"2572","Eliza Pearce",294
"2573","elizasth",67
"2574","ElJenso",165
"2575","ellagis",168
"2576","ellehunts",79
"2577","Ellery",390
"2578","Elleyjg",192
"2579","ElliottPlack",3
"2580","Elly542",290
"2581","Elly Hall",256
"2582","ElmerOSM",113
"2583","elmiguel14",2070
"2584","eloiz",232
"2585","elpictopinto",7242
"2586","elreasdancing",12
"2587","Els Gevaert",1250
"2588","Elstan",383
"2589","elvolos",20
"2590","Elyse Makanani",85
"2591","Emalong",1490
"2592","Eman Oriby",132
"2593","EmB-E",331
"2594","embelous",265
"2595","emblum87",161
"2596","embrown1229",413
"2597","EMiBias",141
"2598","emilde",2340
"2599","Emiliano Riva",522
"2600","EmiliaTA",145
"2601","Emilio Gomez",476
"2602","EmilMRasmussen",2005
"2603","Emily!",50
"2604","Emily Baker",182
"2605","emilychy",7
"2606","Emily K Schwartz",1031
"2607","EmilyP1995",26
"2608","emilyshine1",114
"2609","emirhartato",3417
"2610","emj",353
"2611","EmLiao",6259
"2612","EmmaApsara",24
"2613","EmmaC176",1301
"2614","EmmaGause",1367
"2615","Emma Liu",60
"2616","Emmanuel Bama",29
"2617","emmar1234",212
"2618","EmmaStockton101",383
"2619","emmatrento",41
"2620","Emmece",8143
"2621","emm_g",1362
"2622","Emmor",1618
"2623","Emmybarkbark",27
"2624","empg",29
"2625","empty1tom",24
"2626","emrks",62
"2627","emvee",2334
"2628","encipher",3
"2629","encleadus",5913
"2630","endozytose",109
"2631","enen",130
"2632","engineerand",278
"2633","Enjoy_The_Rain",57
"2634","ENOB",10
"2635","Enocentdevil",75
"2636","Enock4seth",1815
"2637","Enterek",89
"2638","envirolain",201
"2639","Enxsjp",241
"2640","enyholm",102
"2641","eoosterhof",109
"2642","epark15",828
"2643","epdthefirst",169
"2644","eperez3",15
"2645","epicureanism",117
"2646","eplaya",15
"2647","ER2",1
"2648","EranLivni",81
"2649","Eratosthenes",179
"2650","Erbasanta",550
"2651","ERDavis",281
"2652","ErdkundeHartmann",263
"2653","Ergo",6260
"2654","eric123rod",34
"2655","Eric38fr",230
"2656","eric58",975
"2657","ericarthur",4
"2658","Erica Smith",12
"2659","EricBloomquist",476
"2660","ericg",83
"2661","eric_G",824
"2662","Eric Glass",27
"2663","Eric Godwin",1616
"2664","ericgrey",122
"2665","Eric H C Chow",869
"2666","EricHdc",688
"2667","eric Hsieh",273
"2668","Erick Carpenter",113
"2669","ericmer",915
"2670","ericosullivan",207
"2671","Eric POMMEREAU",1227
"2672","Eric S",141
"2673","Eric Sawyer",51
"2674","Eric Verhoeff",97
"2675","ericyeunglc",81
"2676","eriearth",34
"2677","[erika]",4608
"2678","erika5",358
"2679","Erika963",526
"2680","erikavetter",370
"2681","Erikita84",118
"2682","ErikJ",369
"2683","erikmackie",1402
"2684","erik-ne",954
"2685","Erik Reid",4195
"2686","Erik Sundheim",222
"2687","Erin22",12
"2688","Erinbyrne",150
"2689","Erin DW",201
"2690","Erinenn",162
"2691","Erinite",616
"2692","Erin M",256
"2693","erjo2000",259
"2694","ErnieAtLYD",59
"2695","ErPro",21
"2696","erreporta",553
"2697","Er Thapa",622
"2698","Ertz_at_unavco",4
"2699","er_umesh",5
"2700","Erwan Meunier",899
"2701","ErwKess",1044
"2702","esaulenka",5262
"2703","eschmitt",157
"2704","es_chung",210
"2705","escrowdis",79
"2706","esllolo",319
"2707","esmiiasa",608
"2708","EspenHelle",4777
"2709","Espenol",179
"2710","Espigh",146
"2711","essdey",301
"2712","Essin",1
"2713","estegarbo",170
"2714","EstherGIS",64
"2715","Esther Grassian",9
"2716","etajin",124
"2717","Eternite Ananta",17
"2718","Ethan Steele",130
"2719","Ethicalista",2646
"2720","ethman42",634
"2721","Etienne Burdet",243
"2722","EtienneLafon",910
"2723","Etuttlemankrieg",1726
"2724","EugenAchtzehn",878
"2725","Eugenepjk",540
"2726","eul",18225
"2727","Evac14m",256
"2728","Evanator",1233
"2729","evanbrad",404
"2730","evaxh",177
"2731","EvenEivind",202
"2732","EvenstarArwenn",622
"2733","EveUna",553
"2734","Evgeniy Stepanov",201
"2735","Evgeny  Gorbachev",2
"2736","evianchan",167
"2737","EVonFriedland",4
"2738","EWB Benson",6
"2739","excess L williams",219
"2740","Exmatrikulator",422
"2741","explorerDC",191
"2742","Extra Paul",5834
"2743","ExtremeMapper",32
"2744","eyhel",447
"2745","Eysler",40956
"2746","Ezekiel Mathur",189
"2747","f155662004",137
"2748","f43qsdad",10562
"2749","fabcarto",3425
"2750","fabianofreiman",749
"2751","Fabio Iamaguti Takahashi",72
"2752","Fabiola Yepez",1046
"2753","Fabio Tradigo",131
"2754","fabmeister",16
"2755","fabruce",70
"2756","fabs97",350
"2757","Fagami",394
"2758","Fahrbaer",827
"2759","fairchildbrad",333
"2760","fairlaterfair",17
"2761","Faith Helps",266
"2762","Faleh Aldham",37
"2763","Falling Off Horse",41
"2764","fallondiane920",147
"2765","FamilyPeace House Kathmandu",1
"2766","fangshy",99
"2767","fanindra",1836
"2768","fansaihong",79
"2769","Farras",116
"2770","fatcat02",78
"2771","Fatima",940
"2772","fatimanalher",471
"2773","Fauxtrot",1527
"2774","Favorite Number: 12",1454
"2775","fayecordovez",186
"2776","Faylcon",161
"2777","fbax",2
"2778","Fcbaker",639
"2779","fcff94",6912
"2780","FCPacker82",56
"2781","FCrowley",6
"2782","fdanis",115
"2783","Feby Boediarto",97
"2784","fede_b",159
"2785","feftekhari",43
"2786","fega2015",7985
"2787","Feilipu",1
"2788","felipeacsi",276
"2789","Felipe Poveda",192
"2790","Felix Chantrel",6173
"2791","FelixLeung",425
"2792","Felix Mueller",24729
"2793","Félix Touikan",6
"2794","Felodin",486
"2795","fengood",69
"2796","fenika",1250
"2797","Fenre",3118
"2798","FeralF9",12
"2799","Ferdous Azad Sadi",17
"2800","Ferigo",285
"2801","fermenting",5562
"2802","Fernanda Tellez",381
"2803","Fernandinand",846
"2804","Fernando Cruz",6
"2805","Feuerwiesel",657
"2806","feveritt",878
"2807","fevs",1
"2808","feyeandal",3983
"2809","ffathead",128
"2810","FFes",632
"2811","ffk0716",58
"2812","fg cartographix",471
"2813","Fgking",3
"2814","fhokhold",261
"2815","fickle_female",90
"2816","Fidez",24
"2817","FIG_kelvin",7
"2818","FIG_Marina",66
"2819","FIG_OL_BOLU",1
"2820","FIG YS - Casper",149
"2821","FIG_YS_Daniele Brancato",135
"2822","FIG_YS_GeorgiosR",89
"2823","FIG_ys_Gianrico",6
"2824","FIG_YS_Mdm Azha",104
"2825","FIG YSN",168
"2826","FIG_YS_Steffen",9
"2827","FIG_YS_Takumi Yamanaka",60
"2828","fil",8461
"2829","FilipD",10
"2830","filipesantanalopes",2483
"2831","filipfl",11
"2832","filippofrizzera",495
"2833","filot",4916
"2834","fimperial",541
"2835","FinnBlack",267
"2836","finnjack7",403
"2837","FinnMiller",1150
"2838","Fiona_Arup",53
"2839","Fiona T",80
"2840","firefighterpeter",74
"2841","Firefishy",2071
"2842","Fireflyfree",241
"2843","FireMapMkr",88
"2844","fireontherocks",1012
"2845","FIREsin",1298
"2846","Fishbowl89",338
"2847","Fishpatrol",611
"2848","fishsu103",83
"2849","fishyscott",1206
"2850","fiskekart",8680
"2851","Fiszu",18
"2852","Fittenfot",588
"2853","fjbehr",54
"2854","fjorda11",89
"2855","flarespring",193
"2856","FLeLay",280
"2857","flifish",199
"2858","Flight Hancock",2272
"2859","Fliks",124
"2860","Fliss",46
"2861","floquet nicolas",1334
"2862","FloraR",902
"2863","florianheinkel",152
"2864","florin1802",31
"2865","Flossie Dove",210
"2866","Floyd1516",305
"2867","flpmcr",1246
"2868","flub",159
"2869","fluedtke",31
"2870","Fluffydudeman",34
"2871","flumpool",73
"2872","Flybyei",610
"2873","flyingpigletz",94
"2874","fly_young",278
"2875","FMeier",2
"2876","fmoine",1108
"2877","fnolz",981
"2878","FofB",3359
"2879","Folken",379
"2880","followinmybliss",328
"2881","fong325",445
"2882","foolo672",176
"2883","Forest Jiang",698
"2884","forestus",1631
"2885","Foronda_levt",393
"2886","forrey1770",220
"2887","forsythp",1751
"2888","fosh90",3055
"2889","fotokan",20
"2890","foun1224",11
"2891","Fouzia Younas",5
"2892","foxrobs",5613
"2893","FoxyMaps",167
"2894","fpadula",96
"2895","fr4z",132
"2896","frafra",10701
"2897","frammm",297
"2898","Frances Arup",119
"2899","Francesca0820",304
"2900","francesca baldessari",48
"2901","Francesca F",297
"2902","Francesca Lecci",219
"2903","Francesco Petrosino",1592
"2904","Franceskix",2436
"2905","Françisca",598
"2906","fran cois",6694
"2907","Francoiscosaert",16
"2908","francolamping",328
"2909","francophile124",3525
"2910","fran_huen",563
"2911","Frank3710",7
"2912","frankch",36
"2913","FranklintheTurtle",586
"2914","franz007",27
"2915","franz825",186
"2916","freayd",5240
"2917","Freddi",65
"2918","Fred_Go",2356
"2919","fredmeijer",2
"2920","Fredrik Bergstrand",1510
"2921","fredrikr",591
"2922","Fredrik T",278
"2923","fredsca",31
"2924","fredw",1802
"2925","FreedSky",111
"2926","freeExec",3119
"2927","FreeIndeed",23
"2928","freietonne-db",1
"2929","frenzieguystallin",1308
"2930","freud2010",343
"2931","FreyaP",14
"2932","Friedam",3
"2933","friendmebipul",1267
"2934","frimelle",115
"2935","frinny",36
"2936","fritzzz",539
"2937","Frodo Zhou",76
"2938","fromo",67
"2939","fronknstine",61
"2940","froselso",1571
"2941","Froukjee",877
"2942","FrViPofm",1
"2943","fryd",388
"2944","FTA",36458
"2945","FTHAAhmad",1733
"2946","FTLV",67
"2947","FuckOSMFandODbL",1168
"2948","fullafan",1830
"2949","fumatemibigote",32
"2950","funkbag",4151
"2951","Funkyflow",613
"2952","FunkYou",356
"2953","furaidochikin",2398
"2954","Furke",5
"2955","Fuyi",34
"2956","FvGordon",215
"2957","fwh",22
"2958","fx99",3117
"2959","fxer",99
"2960","FXPriour",144
"2961","fyu",47
"2962","gaarder",64
"2963","Gabbro",1512
"2964","gabetarian",552
"2965","Gabix",90
"2966","Gabor David Duna",571
"2967","Gabor Szalma",125
"2968","Gabrielepal",163
"2969","GabrielGF91",1621
"2970","GabrielGian",221
"2971","gabrielpfranca",734
"2972","gabry501",276
"2973","GaelleMR",1016
"2974","Gagan",161
"2975","Gagan90",6
"2976","gahjelle",57
"2977","galaksi",217
"2978","galatians5:14",9
"2979","galavant",369
"2980","galenburrell",450
"2981","Gall",2553
"2982","gallagher55",852
"2983","gallileo 19",89
"2984","gambhir",81
"2985","Gandalf",250
"2986","GanDhi",894
"2987","Ganesh Adhikary",1
"2988","ganeshanh",12128
"2989","ganesh maya bottle",1
"2990","Ganesh Paudel",17
"2991","Ganesh Thapa Magar",4
"2992","ganga subedi",528
"2993","Gänseblümchen21",108
"2994","garaolaza",1460
"2995","garborg",140
"2996","Gardster",1002
"2997","GarenKreiz",2285
"2998","gareth00",178
"2999","Garrulous",1071
"3000","Gary987",107
"3001","Gary Felder",83
"3002","Gary Law",289
"3003","gaspard",156
"3004","gatthaghar",5
"3005","GauKatte",6
"3006","gaunle",1
"3007","gaurab basnet",61079
"3008","gaurabsagar",87
"3009","gauravshrestha",1
"3010","gauravshrestha1",165
"3011","Gauri Dangol",13
"3012","Gautam Pradhan",6910
"3013","GautamPratik",57324
"3014","Gautam S Kumar",2315
"3015","Gautier PP",10740
"3016","g_b143",641
"3017","gbarrett",743
"3018","g_binod",22
"3019","gbrauen",746
"3020","GCA",1203
"3021","GCBINOD",1
"3022","GDGupta",38
"3023","gduque",502
"3024","geangos",54
"3025","Geeeee",786
"3026","GeekNomad",637
"3027","GEES +19",28
"3028","GEES +22",16
"3029","GEES +35",7
"3030","GEES +45",37
"3031","GEES +54",4
"3032","GEES +55",15
"3033","GEES +57",1
"3034","GEES +61",7
"3035","GEES +80",15
"3036","Geetashree",46
"3037","geevee",258
"3038","GeForce10",93
"3039","geg60030",4823
"3040","Gehendra Gurung",59
"3041","Gelepere",712
"3042","gem_young",459
"3043","gen_digitizer",6
"3044","gendy54",1318
"3045","Général gamkisi",3244
"3046","generalist",2
"3047","geo51",7622
"3048","Geoaashu",12
"3049","GeoAge",872
"3050","GeoAnna22",129
"3051","geobrando",248
"3052","geocruizer",1373
"3053","Geocurioius",169
"3054","geodatalab",799
"3055","geodreieck4711",1
"3056","GeoFabian",621
"3057","GeoffJones",1
"3058","geoff osborn",87
"3059","Geoffrey Fouad",177
"3060","Geoffrey Morgan",70
"3061","geoffry",243
"3062","Geofocus1",219
"3063","Geofreund1",575165
"3064","GeoFrizz",245964
"3065","geoFT",474
"3066","GEOG4673_Chloe",309
"3067","Geogast",1
"3068","Geogoeroe",1055
"3069","geografoaplicado",500
"3070","geography experts",186
"3071","geohacker",1187
"3072","GeoHd2014",1005
"3073","geoHeidi",766
"3074","geohiker2010",492
"3075","Geo-Humanitarian",613
"3076","geokatze",68
"3077","Geokraft",663
"3078","geolife",25
"3079","geomaj1228",30
"3080","geomaticsgeomatics",10
"3081","Geometer2",182
"3082","Geometer4",14
"3083","geomutti",1197
"3084","geo_nic",108
"3085","geopackix",166
"3086","geordie013",1
"3087","Georgana",65
"3088","George234",7
"3089","GeorgeHudetzADSK",108
"3090","GeorgiaHallArup",2
"3091","GeoSebbo",7232
"3092","Geo_Spatial",1759
"3093","GEOSPEX",112
"3094","Geo_S_R",5664
"3095","geo_surveyor",850
"3096","Geo-U-Piter",3251
"3097","geow",17561
"3098","Geoyogi108",580
"3099","gepeix",11
"3100","GerdP",21
"3101","Gerhard Brits",123
"3102","germaine84",36
"3103","Gernice",184
"3104","Gerobe",66
"3105","gerrylet",1
"3106","gert7",24
"3107","Gertjan Idema",1184
"3108","Gert Sterenborg",189
"3109","gertV",115
"3110","GEsztenye25",2581
"3111","Getafix74",1668
"3112","getyoub",30
"3113","Gevenvieve",1
"3114","GExplorer",5
"3115","GG!",42
"3116","gggodhwani",2902
"3117","gguyles",444
"3118","GHackett",225
"3119","ghadagek",147
"3120","ghbonner",301
"3121","Ghets",191
"3122","Ghimire010",136
"3123","GHoeft",228
"3124","ghostofghost",52
"3125","GiantCupcake",224
"3126","GiddyDude",5
"3127","Gießkannenpisser",32
"3128","giggles90",100
"3129","GigiCHarris",26
"3130","gignacnic",15
"3131","Gil Deluermoz",89
"3132","gilesbro",607
"3133","gilhamk",246
"3134","Gill18",546
"3135","Gillet Q",624
"3136","GinaCabas",288
"3137","gingerale",65
"3138","Ginny87",93
"3139","ginolot",209
"3140","ginsab",26205
"3141","Gioppolino",120
"3142","giovand",2468
"3143","giovannidiluca",1776
"3144","gipong",68
"3145","giralien",58
"3146","girija",410
"3147","Giriraj Bhandari",2
"3148","GIS Bend",42
"3149","gisbill",6
"3150","GISChris28",276
"3151","GISdaniel",152
"3152","GISKid",121
